constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
1962;Sønder Vilstrup Kirke ;Brdr. Bruhn;;9;2;Pedal
1962;Sønderborg, Sct. Marie Kirke ;Marcussen & Søn;;39;3;Pedal
1996;Thorsø Kirke ;Bruno Christensen & Sønner;Gert Madsen.;7;1;Pedal
1997;Tilsted Kirke ;Bruno Christensen & Sønner;Jørgen Raaby's tegnestue.;12;2;Pedal
1996;Tjæreborg Kirke ;Anders Havgaard Rasmussen;Rolf Graae. Farvesætning: Konservator Bent Jacobsen, Faaborg. [Iflg. medd. fra orgelbyggeriet 1997].;16;2;Pedal
1970;Tjørring Kirke ;Jensen & Thomsen;;5;1;Pedal
1997;Tranum Kirke ;Gunnar Fabricius Husted;Øjvind Jørgensen.;15;2;Pedal
1979;Troldhede Kirke ;Bruno Christensen & Sønner;;12;2;Pedal
1944;Tryggelev Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;5;1;(Intet Pedal)
1973;Ubberup Valgmenighedskirke ;Gunnar Fabricius Husted;;6;1;Pedal
2008;Ugerløse Kirke ;Gunnar Fabricius Husted;2008: Søren Rassov. Kirkemaler 2008 Paul Andersen [Se noter].;20;2;Pedal
1888;Ulkebøl Kirke ;Marcussen & Søn;;20;2;Pedal
1983;Underup Kirke ;Bruno Christensen & Sønner;;6;1;Pedal
1976;Vallensbæk Kirke ;Th. Frobenius & Sønner;.;11;2;Pedal
1958;Valsgård Kirke ;Th. Frobenius & Co;;5;1;Pedal
1997;Valsølille Kirke ;P.G. Andersen & Bruhn;Per Axelsens tegnestue.;10;2;Pedal
1892;Varnæs Kirke ;Marcussen & Søn;;10;2;Pedal
1971;Vedbæk Kirke ;Th. Frobenius & Sønner;Peter Paludan.;17;3;Pedal
1998;Vejby Kirke ;P.G. Andersen & Bruhn;;24;3;Pedal
1904 (?);Vestenskov Kirke;Gebr. Rieger;Orgelbyggeriet.;6;1;(Intet Pedal)
1964;Vester Nebel Kirke ;Th. Frobenius & Co;;5;1;Pedal
1997;Vildbjerg Kirke ;P.G. Andersen & Bruhn;;16;2;Pedal
1969;Vitved Kirke ;Jensen & Thomsen;;5;1;Pedal
1899;Vonsbæk Kirke ;Marcussen & Søn;;9;1;Pedal
1997;Øde Førslev Kirke ;Gunnar Fabricius Husted;Søren Rassov.;10;2;Pedal
1987;Ørslev Kirke ;Th. Frobenius & Sønner;;9;2;Pedal
1854;Øster Jølby Kirke ;Jens Gregersen;;4;1;(Intet Pedal)
1969;Østervrå Kirke ;Brdr. Bruhn;1969: Rolf Graae. [jfr. Dansk Orgelaarbog, bd. 4, 1987-1988-1989, [1991], s. 14]. 1996: Poul Brøgger. [Iflg. medd. fra orgelbyggeriet 1997].;16;2;Pedal
1956;Aabenraa, Sct. Nicolai Kirke ;Marcussen & Søn;Mogens Koch [Se noter].;31;3;Pedal
1960;Aarhus, Sct. Pauls Kirke ;Marcussen & Søn;;39;3;Pedal
1996;Aller Kirke ;Marcussen & Søn;;9;1;Pedal
1995;Ansager Kirke ;Bruno Christensen & Sønner;Peter B. Villadsen;13;2;Pedal
1868;Ansager Kirke;J.A. Demant;;7;1;(Intet Pedal)
1978;Augustenborg Slotskirke ;Marcussen & Søn;;26;2;Pedal
1955;Bagenkop Kirke ;Th. Frobenius & Co;Tyge Hvass;12;2;Pedal
1880;Ballum Kirke ;Marcussen & Søn;;9;1;Pedal
1973;Bellinge Kirke ;Marcussen & Søn;(1998) Ebbe Lehn Petersen.;11;2;Pedal
1996;Bjerning Kirke ;Marcussen & Søn;;10;2;Pedal
1967;Broager Kirke ;Marcussen & Søn;Rolf Graae [NB: ældre facade genanvendt].;18;2;Pedal
1975;Brovst Kirke ;Gunnar Fabricius Husted;;12;2;Pedal
1980;Bråby Kirke ;Jensen & Thomsen;;9;2;Pedal
1750 (?);Børglumkloster Kirke ;Anonym Mester;;13;1;Pedal
1901;Bågø Kirke ;Frederik Nielsen;.;5;1;(Intet Pedal)
1996;Dalby Kirke ;Marcussen & Søn;> Ebbe Lehn Petersen;10;2;Pedal
1980;Dalbyneder Kirke ;Jydsk Orgelbyggeri;;7;1;Pedal
1976;Dybbøl Kirke ;Marcussen & Søn;;19;2;Pedal
1952;Egtved Kirke ;Marcussen & Søn;1952: ?. 1997: Mogens Svenning [iflg. Vejle Amts Folkeblad 25. marts 1997].;17;2;Pedal
1981;Egå Kirke ;Carsten Lund;;15;2;Pedal
1995;Ejby Kirke ;Gunnar Fabricius Husted;Rolf Graae;14;2;Pedal
1973;Elling Kirke ;I. Starup & Søn;;12;2;Pedal
1994;Elsted Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner.;12;2;Pedal
1992;Emmerlev Kirke ;Bruno Christensen & Sønner;Tegnestuen v/Gert Madsen, Hadsten. [Iflg. meddelelse fra orgelbyggeriet 1993].;11;2;Pedal
1973;Esbønderup Kirke ;Jensen & Thomsen;Rolf Graae.;11;2;Pedal
1988;Farup Kirke ;P. Bruhn & Søn;Orgelbyggeriet. [Se noter].;14;2;Pedal
1984;Fensmark Kirke ;Jensen & Thomsen;Knud Toftvad.;10;2;Pedal
1980;Frederiksværk Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;27;3;Pedal
1960;Freerslev Kirke ;Marcussen & Søn;;7;1;Pedal
1983;Funder Kirke ;Marcussen & Søn;;12;2;Pedal
1954;Hjørring Baptistkirke ;A.C. Zachariasen & Søn;;6;1;(Intet Pedal)
1996;Føllenslev Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;13;2;Pedal
1976;Fårup Kirke ;I. Starup & Søn;;9;2;Pedal
1968;Gettrup Kirke ;Th. Frobenius & Sønner;;11;2;Pedal
1968;Gimsing Kirke ;Th. Frobenius & Sønner;Poul Hansen & Ib Lydholm.;8;1;Pedal
1987;Give Kirke ;Marcussen & Søn;;22;2;Pedal
1995;Grønholt Kirke ;Carsten Lund;Carsten Lund.;15;2;Pedal
